date,level
2011-09-01,50.710748928176
2011-10-01,51.2971950357961
2011-11-01,52.1282532551043
2011-12-01,52.9855807173104
2012-01-01,53.5385955104377
2012-02-01,54.2045059597336
2012-03-01,55.5117666487796
2012-04-01,56.9097190574475
2012-05-01,57.78378751154
2012-06-01,58.572075490034
2012-07-01,59.7448833534414
2012-08-01,61.0205799750208
2012-09-01,62.3193240400386
2012-10-01,63.2588862194978
2012-11-01,64.5881220319955
2012-12-01,65.5528636247071
2013-01-01,66.7612269754067
2013-02-01,68.0141651319151
2013-03-01,69.1515651797207
2013-04-01,70.3247410983354
2013-05-01,71.3083338384041
2013-06-01,72.7566842640312
2013-07-01,74.4970305101683
2013-08-01,76.099843166964
2013-09-01,77.7560264990396
2013-10-01,79.4346223516224
2013-11-01,81.5641484004398
2013-12-01,83.4234864403697
2014-01-01,85.9673674539337
2014-02-01,89.9693034456563
2014-03-01,93.1419313882017
2014-04-01,95.7202132381788
2014-05-01,97.3755610600032
2014-06-01,99.3976420653193
2014-07-01,100.877826068066
2014-08-01,103.474653131021
2014-09-01,105.828128461653
2014-10-01,107.900205957997
